X1,country,date,sm_plf,pred_arr,sd_arr,showup
6831,BE,2020-08-29,583.930652467263,752.361848614122,127.132042760962,0.752903769989103
6832,SE,2020-08-29,1206.12159863722,1742.02260897794,97.6520983022507,0.578317089558224
6854,CZ,2020-08-29,153.292517027154,272.818523340177,106.269873963459,0.62935344234022
6894,BG,2020-08-29,18.1140924006705,27.2852959188713,89.9607806098195,0.532767423549133
6897,NL,2020-08-29,1587.56573896863,1587.56573896863,133.45639792996,0.790357984883157
6908,MT,2020-08-29,1031.90789366801,2044.63306231038,109.794241152005,0.650225515858861
6913,ES,2020-08-29,154.538058838666,295.64371346806,121.128880879199,0.717351732009722
6944,BE,2020-08-30,597.666377802429,748.818439377064,126.533287181482,0.749357808457282
6945,SE,2020-08-30,1203.3617799025,1578.70741645738,95.0776007042982,0.563070351558656
6966,CZ,2020-08-30,145.563844279646,262.934208639301,105.684843733367,0.625888765330175
7001,BG,2020-08-30,14.3120792005747,25.1513679050686,82.9251292297632,0.491100756882466
7006,NL,2020-08-30,1610.76163573955,1610.76163573955,133.130776216536,0.788429581859788
7019,MT,2020-08-30,1030.05774864788,2009.42232839155,109.341479397974,0.64754416170051
7024,ES,2020-08-30,154.055946795171,286.181495679301,117.252093384066,0.694392548336253
7052,BE,2020-08-31,645.805278627732,810.349000787307,132.938873976066,0.787293094809148
7053,SE,2020-08-31,1328.84943622114,1638.62235344866,98.6859757559997,0.584439938021361
7074,CZ,2020-08-31,147.825977966918,296.849929321956,111.363125372662,0.659516791439404
7118,BG,2020-08-31,15.5631553144406,28.3217752398612,93.3780969944183,0.553005518787228
7122,NL,2020-08-31,1676.47323009847,1676.47323009847,138.83371686085,0.822203643991401
7134,MT,2020-08-31,1056.36625841968,2062.22622071555,112.214770703192,0.664560421401795
7138,ES,2020-08-31,159.194271013999,308.322716154822,117.750904849515,0.697346618959947
7170,BE,2020-09-01,650.07917664131,786.931683029492,129.097230620871,0.764542042420896
7171,SE,2020-09-01,1391.85848457307,1623.78552370985,97.792428187325,0.579148153837693
7194,CZ,2020-09-01,139.201781885221,288.542864732836,108.2467336072,0.641060837629309
7233,BG,2020-09-01,15.375151976855,27.0195614869638,89.0846428907936,0.52757874430385
7246,MT,2020-09-01,1012.63361770372,2034.63422439763,110.713369203707,0.655668793259275
7252,ES,2020-09-01,163.164450800385,298.809019552792,114.1175482246,0.675829086155439
7284,BE,2020-09-02,776.950360244178,903.036562693538,148.144396657565,0.87734352665095106
7285,SE,2020-09-02,1430.20516981485,1624.67702615718,97.8461188920305,0.579466121936909
7305,CZ,2020-09-02,134.572258673454,285.713507926296,107.185301598473,0.634774805063465
7344,BG,2020-09-02,21.0732720847536,31.3475770465387,103.35429418534,0.612086741050935
7358,MT,2020-09-02,986.804591657345,2028.71213474152,110.391122339532,0.65376037683148
7363,ES,2020-09-02,169.056109607035,302.265559769105,115.437628506701,0.683646890380848
7389,BE,2020-09-03,929.857142857143,1037.92087396899,168.855633121351,1
7391,SE,2020-09-03,1406.77164570303,1641.38835070552,96.8878463026716,0.573791022020815
7412,CZ,2020-09-03,125.425435787376,293.130924161213,107.897772624302,0.638994214346165
7449,BG,2020-09-03,20.4803179967639,31.3768892445305,103.450937748253,0.61265908537328
7464,MT,2020-09-03,938.269977201124,1995.88111396826,108.303241921226,0.641395492227331
7468,ES,2020-09-03,144.668778253736,284.101459166117,108.500613587873,0.64256437041634
7501,BE,2020-09-04,931.428571428571,1037.92087396899,168.855633121351,1
7503,SE,2020-09-04,1361.44425450956,1625.3937213157,95.6270929927772,0.566324565103809
7524,CZ,2020-09-04,124.494998987139,299.905553501539,110.391427697604,0.653762185228786
7565,BG,2020-09-04,19.9817841422283,30.8770161339325,101.802834851771,0.602898659463786
7577,MT,2020-09-04,873.054882679557,1939.12389485889,104.904101326807,0.621265037995008
7581,ES,2020-09-04,133.3004947769,267.028822874825,101.980437596504,0.603950461772361
7610,BE,2020-09-05,938.571428571429,1007.91606370445,168.855633121351,1
7611,SE,2020-09-05,1247.82202784215,1598.71154357716,94.0572954364117,0.557027880549392
7637,CZ,2020-09-05,121.72810808998899,289.70829139298,114.100981222359,0.675730972743792
7680,BG,2020-09-05,20.3928164122792,31.2428323648701,103.008946516924,0.610041516606643
7700,MT,2020-09-05,839.416999432819,1966.35744638412,106.377401334231,0.629990242953762
7706,ES,2020-09-05,132.080173032872,252.17829395998,103.320561668896,0.611886969708869
7740,BE,2020-09-06,933.142857142857,1007.91606370445,168.855633121351,1
7741,SE,2020-09-06,1183.09493484421,1673.67548134598,92.2005478908469,0.546031815382704
7765,CZ,2020-09-06,119.920843925563,290.944475837689,114.587849780504,0.678614314857673
7808,BG,2020-09-06,19.8239610129766,30.6331386466408,100.998760408336,0.598136754701881
7826,MT,2020-09-06,790.948670656147,1966.99745367296,105.020553791388,0.62195469496664
7831,ES,2020-09-06,135.333338070891,263.090660068856,107.791492841444,0.638364802221185
