"date","country","cases_metric"
2020-08-25,"AZ",0
2020-08-26,"AZ",0
2020-08-27,"AZ",15.315
2020-08-28,"AZ",15.287
2020-08-29,"AZ",15.005
2020-08-30,"AZ",0
2020-08-31,"AZ",0
2020-09-01,"AZ",0
2020-09-02,"AZ",14.357
2020-09-03,"AZ",0
2020-09-04,"AZ",14.865
2020-09-05,"AZ",14.724
2020-09-06,"AZ",0
2020-09-07,"AZ",14.371
2020-09-08,"AZ",0
2020-09-09,"AZ",13.794
2020-09-10,"AZ",14.09
2020-09-11,"AZ",0
2020-09-12,"AZ",0
2020-09-13,"AZ",13.808
2020-09-14,"AZ",14.061
2020-09-15,"AZ",13.878
2020-09-16,"AZ",0
2020-09-17,"AZ",0
2020-09-18,"AZ",0
2020-09-19,"AZ",0
2020-09-20,"AZ",0
2020-09-21,"AZ",12.131
2020-09-22,"AZ",0
2020-09-23,"AZ",0
2020-09-24,"AZ",0
2020-09-25,"AZ",0
2020-09-26,"AZ",0
2020-09-27,"AZ",0
2020-09-28,"AZ",0
2020-09-29,"AZ",11.004
2020-09-30,"AZ",10.44
2020-10-01,"AZ",0
2020-10-02,"AZ",0
2020-10-03,"AZ",0
2020-10-04,"AZ",0
2020-10-05,"AZ",0
2020-10-06,"AZ",0
2020-10-07,"AZ",11.441
2020-10-08,"AZ",0
2020-10-09,"AZ",0
2020-10-10,"AZ",15.02
2020-10-11,"AZ",0
2020-10-12,"AZ",0
2020-10-13,"AZ",0
2020-10-14,"AZ",0
2020-10-15,"AZ",0
2020-10-16,"AZ",0
2020-10-17,"AZ",0
2020-10-18,"AZ",36.14
2020-10-19,"AZ",0
2020-10-20,"AZ",0
2020-10-21,"AZ",0
2020-10-22,"AZ",0
2020-10-23,"AZ",0
2020-10-24,"AZ",62.445
2020-10-25,"AZ",0
2020-10-26,"AZ",0
2020-10-27,"AZ",0
2020-10-28,"AZ",0
2020-10-29,"AZ",0
2020-10-30,"AZ",0
2020-10-31,"AZ",0
